path	sample	reads	bases
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/4/b/9/e/1215470/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AJ0145-C	101685262	9743983600
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/5/1/2/f/1217097/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0266-C	122639314	11678543400
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/2/b/4/1/1215204/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AJ0090-C	92431918	8918165200
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/0/2/c/3/1216466/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AG0325-C	94371369	9090887800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/9/e/1/e/1215142/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AB0251-C	99822174	9598392000
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/b/1/3/8/1216321/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AJ0153-C	101093838	9717547800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/3/3/1/f/1216711/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AB0226-C	109706924	10509458400
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/9/3/7/c/1216062/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AG0324-C	99921380	9616003400
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/e/9/7/3/1216668/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AR0016-C	85003686	8204512200
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/8/e/e/7/1217163/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AG0195-C	89333951	8584015600
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/1/e/f/8/1215444/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AC0179-C	100611971	9628531200
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/2/f/1/d/1216868/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AR0093-Cx	98334272	9451563600
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/1/f/c/a/1215987/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0154-C	91527954	8781338400
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/7/7/9/d/1215529/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AK0140-C	122669277	10388917800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/6/5/f/e/1216532/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AS0040-C	99621888	9572570600
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/8/8/8/7/1215633/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AB0284-C	93663496	9004291800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/9/5/f/2/1216817/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AC0129-C	101280934	9697605200
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/e/6/5/b/1217167/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0223-Cx	106841308	10235134200
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/6/b/4/8/1215746/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0308-Cx	102058356	9759377200
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/e/f/4/b/1215856/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0174-C	100199086	9470500800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/6/6/2/8/1216520/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AR0012-C	109106241	10509604600
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/d/2/c/c/1216648/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0120-C	109242221	10323504000
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/d/5/b/f/1216655/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0190-C	93445970	8857283000
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/d/a/f/5/1216254/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AB0164-C	82698399	7968281200
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/2/f/a/a/1216364/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0296-Cx	125154219	11943160800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/2/8/3/3/1215731/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AJ0032-C	96358984	9249989200
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/6/e/6/3/1215910/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AK0048-C	94197536	8987475800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/7/c/c/3/1216973/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AR0088-C	102929495	9892374800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/9/7/1/c/1215920/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AR0079-Cx	92345804	8832951800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/e/6/0/6/1216038/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AC0107-C	118078729	11332218600
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/a/6/4/6/1215353/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AC0145-C	105012803	10072202800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/d/8/a/7/1216040/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AC0146-C	84968594	8168316000
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/a/6/9/2/1215732/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0258-C	113132472	10819425400
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/8/1/6/7/1215960/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AG0111-C	121101195	11592767400
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/0/1/7/3/1215466/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AG0045-C	89600236	8621617400
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/8/0/a/6/1215855/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0159-C	110872165	10613990200
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/4/6/6/1/1215001/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AB0191-C	111510646	10697659200
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/0/6/3/b/1216216/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0280-Cx	116024859	11111432000
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/f/5/9/6/1215799/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AS0024-Cx	92522483	8877964000
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/8/1/b/8/1217141/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AC0158-C	97561794	9364179400
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/6/8/3/c/1217094/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AG0335-C	93175273	8954299600
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/5/7/3/f/1215994/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0260-C	92650985	8870590800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/7/2/8/d/1215576/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AB0086-C	105183401	10086630200
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/0/5/d/0/1215090/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AC0171-C	89420059	8571234400
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/8/0/3/b/1217330/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AJ0158-C	95828917	9221500800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/d/e/c/b/1217248/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AC0149-Cx	101118005	9663479200
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/3/2/7/f/1216956/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0216-C	45405	4296200
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/0/0/e/c/1215570/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	BK0079-CW	115477534	15113008348
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/5/8/f/f/1215064/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AC0178-C	106021362	10184709800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/e/4/2/0/1216784/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AR0017-C	91475281	8846194600
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/b/1/7/1/1214639/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AR0073-C	88133067	8487384600
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/9/4/d/1/1216726/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AC0101-C	112343015	10767308400
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/9/b/9/9/1215434/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0300-C	108376961	10388888400
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/c/9/4/7/1214913/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0150-C	25638842	2453573800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/8/2/2/f/1215865/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AC0172-C	82056706	7832477800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/e/0/9/c/1215332/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AS0012-Cx	102317895	9794397200
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/f/6/4/7/1215757/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AJ0023-C	98285631	9412251200
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/6/a/c/b/1214895/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AJ0029-C	83125234	7974758600
